Datum;Von;bis;MW;Onshore MW;Offshore MW
01.01.20;00:00;00:15;4194,67;3768,4;426,27
01.01.20;00:15;00:30;4090,77;3691,81;398,97
01.01.20;00:30;00:45;4181,72;3793,86;387,86
01.01.20;00:45;01:00;4301,05;3870,87;430,18
01.01.20;01:00;01:15;4226,75;3700,57;526,17
01.01.20;01:15;01:30;4011,76;3339,63;672,13
01.01.20;01:30;01:45;4025,65;3357,25;668,4
01.01.20;01:45;02:00;4064,75;3371,73;693,02
01.01.20;02:00;02:15;4011,57;3297,76;713,82
01.01.20;02:15;02:30;3966,96;3205,04;761,92
01.01.20;02:30;02:45;3860,33;3147,92;712,41
01.01.20;02:45;03:00;3683,2;2958,65;724,55
01.01.20;03:00;03:15;3365,02;2608,79;756,23
01.01.20;03:15;03:30;3182,35;2395,43;786,92
01.01.20;03:30;03:45;3110,51;2361,82;748,69
01.01.20;03:45;04:00;3092,16;2329,85;762,32
01.01.20;04:00;04:15;2994,1;2162,34;831,75
01.01.20;04:15;04:30;2880,78;1999,95;880,83
01.01.20;04:30;04:45;2910,36;1981,27;929,09
01.01.20;04:45;05:00;2915,97;1979,11;936,86
01.01.20;05:00;05:15;2947,75;2021,01;926,75
01.01.20;05:15;05:30;2963,55;2030,46;933,09
01.01.20;05:30;05:45;3073,58;2133,71;939,87
01.01.20;05:45;06:00;3148,34;2203,48;944,86
01.01.20;06:00;06:15;3173,85;2245,46;928,39
01.01.20;06:15;06:30;3146,66;2222,77;923,9
01.01.20;06:30;06:45;3166,04;2223,61;942,43
01.01.20;06:45;07:00;3112,13;2144,63;967,5
01.01.20;07:00;07:15;3112,42;2108,96;1003,46
01.01.20;07:15;07:30;3083,2;2064,78;1018,42
01.01.20;07:30;07:45;2980,49;1965,71;1014,78
01.01.20;07:45;08:00;2980,5;1962,52;1017,99
01.01.20;08:00;08:15;2970,92;1955,15;1015,77
01.01.20;08:15;08:30;2985,13;1968,73;1016,39
01.01.20;08:30;08:45;2979,1;1962,26;1016,84
01.01.20;08:45;09:00;2884,87;1871,83;1013,04
01.01.20;09:00;09:15;2860,3;1864,83;995,47
01.01.20;09:15;09:30;2812,76;1829,08;983,68
01.01.20;09:30;09:45;2774,04;1808,65;965,38
01.01.20;09:45;10:00;2697,48;1751,96;945,52
01.01.20;10:00;10:15;2551,53;1593,63;957,9
01.01.20;10:15;10:30;2499,93;1542,37;957,56
01.01.20;10:30;10:45;2468,24;1497,37;970,87
01.01.20;10:45;11:00;2483,09;1513,41;969,68
01.01.20;11:00;11:15;2519,57;1543,79;975,77
01.01.20;11:15;11:30;2521,05;1540,54;980,51
01.01.20;11:30;11:45;2516,42;1527,33;989,09
01.01.20;11:45;12:00;2556,16;1556,81;999,35
01.01.20;12:00;12:15;2547,19;1540,39;1006,8
01.01.20;12:15;12:30;2616,66;1599,86;1016,8
01.01.20;12:30;12:45;2670,25;1652,82;1017,43
01.01.20;12:45;13:00;2958,28;1941,67;1016,61
01.01.20;13:00;13:15;2862,03;1841,56;1020,47
01.01.20;13:15;13:30;2895,99;1882,7;1013,29
01.01.20;13:30;13:45;2984,5;1971,88;1012,62
01.01.20;13:45;14:00;2959,77;1946,93;1012,84
01.01.20;14:00;14:15;2961,66;1950,49;1011,17
01.01.20;14:15;14:30;2934,01;1922,03;1011,98
01.01.20;14:30;14:45;2939,2;1925,96;1013,24
01.01.20;14:45;15:00;2916,59;1897,56;1019,03
01.01.20;15:00;15:15;2863,28;1849,04;1014,24
01.01.20;15:15;15:30;2864,5;1867,65;996,85
01.01.20;15:30;15:45;2897,5;1921,06;976,44
01.01.20;15:45;16:00;2931,56;1963,45;968,11
01.01.20;16:00;16:15;3107,8;2143,97;963,83
01.01.20;16:15;16:30;3374,55;2395,66;978,89
01.01.20;16:30;16:45;3585,11;2592,87;992,24
01.01.20;16:45;17:00;3770,53;2777,76;992,77
01.01.20;17:00;17:15;3966,68;2974,09;992,59
01.01.20;17:15;17:30;4041,84;3047,74;994,11
01.01.20;17:30;17:45;4183,21;3194,26;988,95
01.01.20;17:45;18:00;4265,65;3281,96;983,69
01.01.20;18:00;18:15;4421,24;3450,85;970,39
01.01.20;18:15;18:30;4574,1;3603,49;970,61
01.01.20;18:30;18:45;4712,11;3735,09;977,02
01.01.20;18:45;19:00;4814,65;3843,22;971,43
01.01.20;19:00;19:15;4996,96;4044,88;952,09
01.01.20;19:15;19:30;4979,24;4029,02;950,22
01.01.20;19:30;19:45;4972,33;4037,44;934,89
01.01.20;19:45;20:00;5146,74;4200,43;946,31
01.01.20;20:00;20:15;5080,88;4154,2;926,68
01.01.20;20:15;20:30;5054,44;4174,64;879,8
01.01.20;20:30;20:45;5221,52;4399,14;822,38
01.01.20;20:45;21:00;5187,63;4398,34;789,29
01.01.20;21:00;21:15;5309,11;4606,79;702,32
01.01.20;21:15;21:30;5251,87;4614,16;637,7
01.01.20;21:30;21:45;5244,22;4654,02;590,2
01.01.20;21:45;22:00;5176,98;4600,45;576,53
01.01.20;22:00;22:15;4985,37;4488,06;497,31
01.01.20;22:15;22:30;4771,05;4284,83;486,22
01.01.20;22:30;22:45;4579,02;4052,23;526,8
01.01.20;22:45;23:00;4449,02;3940,16;508,86
01.01.20;23:00;23:15;4447,5;3941,31;506,19
01.01.20;23:15;23:30;4545,57;3988,14;557,43
01.01.20;23:30;23:45;4365,41;3786,44;578,97
01.01.20;23:45;00:00;4271,92;3674,59;597,33
02.01.20;00:00;00:15;4291,74;3719,94;571,8
02.01.20;00:15;00:30;4339,32;3681,07;658,25
02.01.20;00:30;00:45;4424,69;3722,54;702,15
