Datum;Von;bis;MW;Onshore MW;Offshore MW
01.01.20;00:00;00:15;3719,75;3339,75;380
01.01.20;00:15;00:30;3689,44;3298,99;390,44
01.01.20;00:30;00:45;3659,94;3259,04;400,9
01.01.20;00:45;01:00;3627,8;3215,47;412,33
01.01.20;01:00;01:15;3608,21;3184,44;423,77
01.01.20;01:15;01:30;3593,78;3135,01;458,77
01.01.20;01:30;01:45;3580,72;3086,93;493,79
01.01.20;01:45;02:00;3562,98;3033,49;529,48
01.01.20;02:00;02:15;3564,91;2999,74;565,17
01.01.20;02:15;02:30;3546,9;2946,4;600,5
01.01.20;02:30;02:45;3529,24;2893,4;635,84
01.01.20;02:45;03:00;3516,47;2845,23;671,24
01.01.20;03:00;03:15;3505,37;2798,7;706,68
01.01.20;03:15;03:30;3490,96;2763,1;727,87
01.01.20;03:30;03:45;3477,28;2728,23;749,05
01.01.20;03:45;04:00;3464,26;2694,9;769,35
01.01.20;04:00;04:15;3452,73;2663,08;789,64
01.01.20;04:15;04:30;3418,6;2616,06;802,54
01.01.20;04:30;04:45;3384;2568,57;815,43
01.01.20;04:45;05:00;3347,27;2518,46;828,8
01.01.20;05:00;05:15;3311,46;2469,28;842,18
01.01.20;05:15;05:30;3280,31;2428,38;851,93
01.01.20;05:30;05:45;3249,74;2388,06;861,68
01.01.20;05:45;06:00;3224,69;2352,9;871,79
01.01.20;06:00;06:15;3228,69;2346,79;881,9
01.01.20;06:15;06:30;3205,87;2320,09;885,78
01.01.20;06:30;06:45;3181,85;2292,2;889,65
01.01.20;06:45;07:00;3154,56;2259,58;894,97
01.01.20;07:00;07:15;3121,3;2221,01;900,29
01.01.20;07:15;07:30;3093,75;2189,35;904,4
01.01.20;07:30;07:45;3065,87;2157,35;908,52
01.01.20;07:45;08:00;3032,94;2119,74;913,2
01.01.20;08:00;08:15;3000,34;2082,47;917,88
01.01.20;08:15;08:30;2970,17;2052,25;917,92
01.01.20;08:30;08:45;2942,18;2024,23;917,95
01.01.20;08:45;09:00;2914,68;1996,74;917,94
01.01.20;09:00;09:15;2885,96;1968,05;917,91
01.01.20;09:15;09:30;2848,69;1929,23;919,46
01.01.20;09:30;09:45;2811,17;1890,18;921
01.01.20;09:45;10:00;2773,72;1850,01;923,72
01.01.20;10:00;10:15;2736,54;1810,11;926,43
01.01.20;10:15;10:30;2698,3;1767,94;930,36
01.01.20;10:30;10:45;2659,75;1725,46;934,28
01.01.20;10:45;11:00;2620,96;1682,76;938,2
01.01.20;11:00;11:15;2582,22;1640,11;942,11
01.01.20;11:15;11:30;2546,58;1598,12;948,46
01.01.20;11:30;11:45;2512,61;1557,8;954,82
01.01.20;11:45;12:00;2482,64;1521,34;961,3
01.01.20;12:00;12:15;2454,46;1486,69;967,77
01.01.20;12:15;12:30;2431,95;1459,38;972,56
01.01.20;12:30;12:45;2410,88;1433,54;977,34
01.01.20;12:45;13:00;2392,93;1410,16;982,77
01.01.20;13:00;13:15;2377,6;1389,41;988,19
01.01.20;13:15;13:30;2400,81;1412,2;988,61
01.01.20;13:30;13:45;2424,98;1435,95;989,03
01.01.20;13:45;14:00;2451,86;1462,88;988,99
01.01.20;14:00;14:15;2459,02;1470,08;988,94
01.01.20;14:15;14:30;2505,68;1517,36;988,31
01.01.20;14:30;14:45;2552,4;1564,72;987,69
01.01.20;14:45;15:00;2603,37;1615,6;987,77
01.01.20;15:00;15:15;2654,83;1666,98;987,85
01.01.20;15:15;15:30;2722,53;1734,81;987,71
01.01.20;15:30;15:45;2793,63;1806,06;987,57
01.01.20;15:45;16:00;2864,89;1876,99;987,9
01.01.20;16:00;16:15;2941,15;1952,92;988,23
01.01.20;16:15;16:30;3035,47;2045,84;989,63
01.01.20;16:30;16:45;3131,98;2140,94;991,04
01.01.20;16:45;17:00;3233,91;2241,23;992,68
01.01.20;17:00;17:15;3336,86;2342,54;994,32
01.01.20;17:15;17:30;3444,18;2450,02;994,15
01.01.20;17:30;17:45;3551,73;2557,74;993,99
01.01.20;17:45;18:00;3654,01;2660,48;993,53
01.01.20;18:00;18:15;3755,23;2762,16;993,06
01.01.20;18:15;18:30;3838,59;2848;990,6
01.01.20;18:30;18:45;3916,67;2928,54;988,13
01.01.20;18:45;19:00;3992,26;3006,99;985,27
01.01.20;19:00;19:15;4067,08;3084,67;982,42
01.01.20;19:15;19:30;4078,15;3105,49;972,66
01.01.20;19:30;19:45;4091,16;3128,28;962,88
01.01.20;19:45;20:00;4105,99;3153,25;952,74
01.01.20;20:00;20:15;4123,44;3180,84;942,61
01.01.20;20:15;20:30;4108,44;3182,94;925,5
01.01.20;20:30;20:45;4093,05;3184,68;908,37
01.01.20;20:45;21:00;4079,97;3189,24;890,74
01.01.20;21:00;21:15;4065,63;3192,53;873,09
01.01.20;21:15;21:30;4041,83;3184,26;857,57
01.01.20;21:30;21:45;4018,5;3176,48;842,02
01.01.20;21:45;22:00;3994,09;3166,9;827,18
01.01.20;22:00;22:15;3975,71;3163,38;812,33
01.01.20;22:15;22:30;3966,79;3153,91;812,87
01.01.20;22:30;22:45;3956,7;3143,3;813,41
01.01.20;22:45;23:00;3950,01;3135,66;814,35
01.01.20;23:00;23:15;3949,12;3133,82;815,3
01.01.20;23:15;23:30;3951,76;3138,68;813,08
01.01.20;23:30;23:45;3956,29;3144,87;811,42
01.01.20;23:45;00:00;3961,43;3150,72;810,71
02.01.20;00:00;00:15;3357,64;2667,36;690,28
02.01.20;00:15;00:30;3326,7;2637,04;689,66
02.01.20;00:30;00:45;3298,3;2609,23;689,07
02.01.20;00:45;01:00;3271,82;2582,59;689,23
02.01.20;01:00;01:15;3256,26;2566,89;689,37
02.01.20;01:15;01:30;3263,3;2563,03;700,26
02.01.20;01:30;01:45;3271,02;2559,88;711,15
02.01.20;01:45;02:00;3278,93;2557,76;721,16
02.01.20;02:00;02:15;3319,28;2588,11;731,17
02.01.20;02:15;02:30;3342,31;2605,36;736,95
02.01.20;02:30;02:45;3365,13;2622,4;742,73
02.01.20;02:45;03:00;3391,4;2642,79;748,61
02.01.20;03:00;03:15;3419,45;2664,96;754,49
02.01.20;03:15;03:30;3452,53;2704,52;748,01
02.01.20;03:30;03:45;3488,16;2746,65;741,51
02.01.20;03:45;04:00;3531,27;2796,31;734,96
02.01.20;04:00;04:15;3575,87;2847,49;728,38
02.01.20;04:15;04:30;3605,28;2878,65;726,63
02.01.20;04:30;04:45;3636,98;2912,11;724,88
02.01.20;04:45;05:00;3671,03;2948,28;722,74
02.01.20;05:00;05:15;3709,79;2989,18;720,61
02.01.20;05:15;05:30;3760,4;3043,3;717,1
02.01.20;05:30;05:45;3812,65;3099,05;713,6
02.01.20;05:45;06:00;3862,62;3152,26;710,36
02.01.20;06:00;06:15;3907,43;3200,31;707,12
02.01.20;06:15;06:30;3968,53;3264,04;704,5
02.01.20;06:30;06:45;4030,37;3328,5;701,87
02.01.20;06:45;07:00;4089,6;3390,29;699,32
02.01.20;07:00;07:15;4142,13;3445,37;696,76
02.01.20;07:15;07:30;4166,5;3464,71;701,79
02.01.20;07:30;07:45;4191,68;3484,87;706,81
02.01.20;07:45;08:00;4215,18;3502,71;712,48
02.01.20;08:00;08:15;4239,85;3521,72;718,13
02.01.20;08:15;08:30;4258,06;3539,46;718,6
02.01.20;08:30;08:45;4276,19;3557,13;719,06
02.01.20;08:45;09:00;4297,33;3577,92;719,42
02.01.20;09:00;09:15;4318,6;3598,83;719,77
02.01.20;09:15;09:30;4334,09;3607,07;727,02
02.01.20;09:30;09:45;4350,03;3615,76;734,27
02.01.20;09:45;10:00;4351,92;3610,46;741,46
02.01.20;10:00;10:15;4352,24;3603,58;748,66
02.01.20;10:15;10:30;4271,69;3520,38;751,31
02.01.20;10:30;10:45;4187,47;3433,51;753,95
02.01.20;10:45;11:00;4099,65;3343,17;756,48
02.01.20;11:00;11:15;4013,24;3254,22;759,01
02.01.20;11:15;11:30;3906,86;3147,4;759,46
02.01.20;11:30;11:45;3803,1;3043,19;759,91
02.01.20;11:45;12:00;3711,92;2952,05;759,87
02.01.20;12:00;12:15;3624,24;2864,41;759,83
02.01.20;12:15;12:30;3569,72;2807,64;762,08
02.01.20;12:30;12:45;3516,29;2751,95;764,34
02.01.20;12:45;13:00;3471,81;2705,36;766,45
02.01.20;13:00;13:15;3428,59;2660,04;768,55
02.01.20;13:15;13:30;3472,48;2704,98;767,5
02.01.20;13:30;13:45;3519,77;2753,33;766,44
02.01.20;13:45;14:00;3577,81;2811,76;766,05
02.01.20;14:00;14:15;3620,42;2854,76;765,66
02.01.20;14:15;14:30;3737,97;2970,58;767,39
02.01.20;14:30;14:45;3853,84;3084,72;769,12
02.01.20;14:45;15:00;3980,75;3209,52;771,23
02.01.20;15:00;15:15;4111,08;3337,74;773,34
02.01.20;15:15;15:30;4285,29;3510,92;774,37
02.01.20;15:30;15:45;4467,85;3692,46;775,39
02.01.20;15:45;16:00;4654,79;3878,76;776,03
02.01.20;16:00;16:15;4849,57;4072,91;776,66
02.01.20;16:15;16:30;5060,56;4280,6;779,96
02.01.20;16:30;16:45;5276,59;4493,34;783,24
02.01.20;16:45;17:00;5478,86;4692,33;786,53
02.01.20;17:00;17:15;5678,24;4888,42;789,81
02.01.20;17:15;17:30;5840,36;5047,64;792,72
02.01.20;17:30;17:45;6004,03;5208,4;795,62
02.01.20;17:45;18:00;6160,2;5361,21;798,99
02.01.20;18:00;18:15;6322;5519,64;802,37
02.01.20;18:15;18:30;6437,64;5632,83;804,81
02.01.20;18:30;18:45;6554,13;5746,88;807,25
02.01.20;18:45;19:00;6668,72;5859;809,73
02.01.20;19:00;19:15;6788,5;5976,29;812,21
02.01.20;19:15;19:30;6834,26;6012,41;821,84
02.01.20;19:30;19:45;6881,25;6049,77;831,48
02.01.20;19:45;20:00;6929,96;6089,08;840,88
02.01.20;20:00;20:15;7023,07;6172,79;850,28
02.01.20;20:15;20:30;7084,79;6219,66;865,13
02.01.20;20:30;20:45;7147,01;6267,05;879,96
02.01.20;20:45;21:00;7219,06;6324,06;895,01
02.01.20;21:00;21:15;7292,43;6382,39;910,04
02.01.20;21:15;21:30;7334,53;6415,57;918,96
02.01.20;21:30;21:45;7377,84;6449,96;927,88
02.01.20;21:45;22:00;7420,01;6483,89;936,11
02.01.20;22:00;22:15;7467,01;6522,68;944,34
02.01.20;22:15;22:30;7529,98;6592,25;937,73
02.01.20;22:30;22:45;7592,92;6661,8;931,12
02.01.20;22:45;23:00;7670,14;6745,84;924,3
02.01.20;23:00;23:15;7753,39;6835,9;917,48
02.01.20;23:15;23:30;7843,25;6926,22;917,03
02.01.20;23:30;23:45;7938,98;7020,93;918,05
02.01.20;23:45;00:00;8039,79;7118,37;921,42
03.01.20;00:00;00:15;7640,75;6714,45;926,3
03.01.20;00:15;00:30;7762,5;6827,32;935,18
03.01.20;00:30;00:45;7887,51;6943,47;944,04
03.01.20;00:45;01:00;8019,89;7068,14;951,75
03.01.20;01:00;01:15;8154,7;7195,25;959,44
03.01.20;01:15;01:30;8268,9;7305,2;963,7
03.01.20;01:30;01:45;8384,34;7416,39;967,95
03.01.20;01:45;02:00;8492,16;7518,3;973,86
03.01.20;02:00;02:15;8613,45;7633,68;979,78
03.01.20;02:15;02:30;8695,2;7710,38;984,82
03.01.20;02:30;02:45;8777,94;7788,09;989,85
03.01.20;02:45;03:00;8862,88;7866,92;995,96
03.01.20;03:00;03:15;8950,63;7948,59;1002,04
03.01.20;03:15;03:30;9038,24;8030,82;1007,42
03.01.20;03:30;03:45;9126,49;8113,74;1012,75
03.01.20;03:45;04:00;9215,65;8200,53;1015,12
03.01.20;04:00;04:15;9305,22;8287,76;1017,46
03.01.20;04:15;04:30;9386,32;8367,39;1018,92
03.01.20;04:30;04:45;9467,12;8446,75;1020,37
03.01.20;04:45;05:00;9552,64;8530,89;1021,76
03.01.20;05:00;05:15;9641,06;8617,92;1023,14
03.01.20;05:15;05:30;9732,5;8709,21;1023,3
03.01.20;05:30;05:45;9824,12;8800,67;1023,45
03.01.20;05:45;06:00;9903,65;8882,31;1021,34
03.01.20;06:00;06:15;10012,78;8993,55;1019,23
03.01.20;06:15;06:30;10104,97;9083,38;1021,59
03.01.20;06:30;06:45;10194,19;9170,24;1023,95
03.01.20;06:45;07:00;10278,71;9254,79;1023,92
03.01.20;07:00;07:15;10355,05;9331,16;1023,89
03.01.20;07:15;07:30;10416,99;9391,64;1025,35
03.01.20;07:30;07:45;10478,71;9451,9;1026,81
03.01.20;07:45;08:00;10531,6;9503,39;1028,21
03.01.20;08:00;08:15;10583,74;9554,14;1029,6
03.01.20;08:15;08:30;10636,78;9605,84;1030,94
03.01.20;08:30;08:45;10689,84;9657,6;1032,24
03.01.20;08:45;09:00;10744,56;9710,36;1034,2
03.01.20;09:00;09:15;10797,12;9760,96;1036,16
03.01.20;09:15;09:30;10856,37;9819,42;1036,95
03.01.20;09:30;09:45;10915,79;9878,05;1037,74
03.01.20;09:45;10:00;10965,19;9927,15;1038,04
03.01.20;10:00;10:15;11012,47;9974,12;1038,35
03.01.20;10:15;10:30;11041,23;10002,92;1038,31
03.01.20;10:30;10:45;11069,03;10030,77;1038,27
03.01.20;10:45;11:00;11097,34;10059,4;1037,94
03.01.20;11:00;11:15;11124,17;10086,54;1037,62
03.01.20;11:15;11:30;11149,24;10111,84;1037,4
03.01.20;11:30;11:45;11173,64;10136,46;1037,18
03.01.20;11:45;12:00;11196,64;10159,67;1036,96
03.01.20;12:00;12:15;11217,41;10180,66;1036,75
03.01.20;12:15;12:30;11240,78;10204,78;1035,99
03.01.20;12:30;12:45;11265,18;10229,95;1035,24
03.01.20;12:45;13:00;11282,95;10248,27;1034,68
03.01.20;13:00;13:15;11299,77;10265,64;1034,13
03.01.20;13:15;13:30;11326,04;10293,81;1032,23
03.01.20;13:30;13:45;11350,64;10320,3;1030,34
03.01.20;13:45;14:00;11373,67;10344,89;1028,78
03.01.20;14:00;14:15;11419,75;10392,57;1027,18
03.01.20;14:15;14:30;11442,72;10417,32;1025,4
03.01.20;14:30;14:45;11463,84;10440,22;1023,62
03.01.20;14:45;15:00;11483,56;10461,13;1022,43
03.01.20;15:00;15:15;11500,66;10479,43;1021,24
03.01.20;15:15;15:30;11522,6;10506,23;1016,37
03.01.20;15:30;15:45;11542,78;10531,3;1011,47
03.01.20;15:45;16:00;11557,15;10549,98;1007,17
03.01.20;16:00;16:15;11571,42;10568,59;1002,84
03.01.20;16:15;16:30;11567,07;10587,64;979,43
03.01.20;16:30;16:45;11559,8;10603,86;955,94
03.01.20;16:45;17:00;11551,57;10618,97;932,6
03.01.20;17:00;17:15;11538,82;10629,64;909,18
03.01.20;17:15;17:30;11527,62;10639,81;887,81
03.01.20;17:30;17:45;11511,12;10644,76;866,36
03.01.20;17:45;18:00;11482,16;10636,96;845,2
03.01.20;18:00;18:15;11450,85;10626,86;823,99
03.01.20;18:15;18:30;11370,95;10575,4;795,55
03.01.20;18:30;18:45;11291,28;10524,18;767,1
03.01.20;18:45;19:00;11181,05;10442,02;739,03
03.01.20;19:00;19:15;11066,87;10355,92;710,95
03.01.20;19:15;19:30;10974,69;10244,51;730,18
03.01.20;19:30;19:45;10881,42;10132,14;749,28
03.01.20;19:45;20:00;10736,47;9965,89;770,58
03.01.20;20:00;20:15;10635,86;9844,06;791,8
03.01.20;20:15;20:30;10589,13;9771,66;817,47
03.01.20;20:30;20:45;10534,66;9691,62;843,04
03.01.20;20:45;21:00;10477,11;9608,78;868,33
03.01.20;21:00;21:15;10409,44;9515,98;893,46
03.01.20;21:15;21:30;10368,23;9457,1;911,13
03.01.20;21:30;21:45;10320,01;9391,2;928,8
03.01.20;21:45;22:00;10256,65;9309,81;946,84
03.01.20;22:00;22:15;10157,52;9192,66;964,86
03.01.20;22:15;22:30;10167,94;9194,73;973,21
03.01.20;22:30;22:45;10170,84;9189,31;981,53
03.01.20;22:45;23:00;10162,61;9173,17;989,44
03.01.20;23:00;23:15;10157,25;9159,93;997,32
03.01.20;23:15;23:30;10164,69;9160,77;1003,92
03.01.20;23:30;23:45;10159,49;9149,22;1010,27
03.01.20;23:45;00:00;10147,29;9131,17;1016,12
04.01.20;00:00;00:15;10083,26;9050,44;1032,82
04.01.20;00:15;00:30;10017,28;8981,91;1035,37
04.01.20;00:30;00:45;9945,76;8907,87;1037,89
04.01.20;00:45;01:00;9897,77;8857,46;1040,31
04.01.20;01:00;01:15;9854,6;8811,89;1042,71
04.01.20;01:15;01:30;9821,56;8778,68;1042,88
04.01.20;01:30;01:45;9787,76;8744,71;1043,05
04.01.20;01:45;02:00;9760,92;8717,93;1042,99
04.01.20;02:00;02:15;9773,57;8730,64;1042,94
04.01.20;02:15;02:30;9782,41;8739,68;1042,73
04.01.20;02:30;02:45;9785,6;8743,09;1042,51
04.01.20;02:45;03:00;9790,63;8748,34;1042,29
04.01.20;03:00;03:15;9793,12;8751,05;1042,06
04.01.20;03:15;03:30;9884,84;8843,21;1041,63
04.01.20;03:30;03:45;9977,47;8936,27;1041,2
04.01.20;03:45;04:00;10073,1;9032,34;1040,77
04.01.20;04:00;04:15;10168,5;9128,17;1040,33
04.01.20;04:15;04:30;10258,19;9217,8;1040,39
04.01.20;04:30;04:45;10343,69;9303,25;1040,44
04.01.20;04:45;05:00;10485,99;9445,46;1040,53
04.01.20;05:00;05:15;10627,77;9587,23;1040,54
04.01.20;05:15;05:30;10798,51;9757,94;1040,57
04.01.20;05:30;05:45;10968,78;9928,18;1040,6
04.01.20;05:45;06:00;11122,58;10081,94;1040,64
04.01.20;06:00;06:15;11346;10305,3;1040,7
04.01.20;06:15;06:30;11514,25;10473,49;1040,76
04.01.20;06:30;06:45;11680,89;10640,09;1040,8
04.01.20;06:45;07:00;11870,77;10829,92;1040,84
04.01.20;07:00;07:15;12051,33;11010,46;1040,87
04.01.20;07:15;07:30;12186,96;11146,61;1040,36
04.01.20;07:30;07:45;12315,09;11275,27;1039,82
04.01.20;07:45;08:00;12433,07;11393,78;1039,29
04.01.20;08:00;08:15;12548;11509,24;1038,76
04.01.20;08:15;08:30;12659,04;11619,73;1039,31
04.01.20;08:30;08:45;12768,43;11728,57;1039,86
04.01.20;08:45;09:00;12878,21;11838,25;1039,96
04.01.20;09:00;09:15;12984,12;11944,06;1040,06
04.01.20;09:15;09:30;13117,58;12076,64;1040,94
04.01.20;09:30;09:45;13244,84;12203,02;1041,81
04.01.20;09:45;10:00;13373,88;12331,63;1042,24
04.01.20;10:00;10:15;13501,98;12459,31;1042,68
04.01.20;10:15;10:30;13640,43;12598,6;1041,84
04.01.20;10:30;10:45;13776,91;12735,96;1040,94
04.01.20;10:45;11:00;13904,85;12864,96;1039,89
04.01.20;11:00;11:15;14029,97;12991,22;1038,75
04.01.20;11:15;11:30;14150,04;13110,23;1039,81
04.01.20;11:30;11:45;14268,08;13227,24;1040,84
04.01.20;11:45;12:00;14376,65;13334,94;1041,71
04.01.20;12:00;12:15;14485,13;13442,6;1042,53
04.01.20;12:15;12:30;14536,08;13493,52;1042,56
04.01.20;12:30;12:45;14587,8;13545,21;1042,6
04.01.20;12:45;13:00;14629,22;13586,59;1042,63
04.01.20;13:00;13:15;14675,2;13632,55;1042,66
04.01.20;13:15;13:30;14659,11;13616,37;1042,74
04.01.20;13:30;13:45;14647,26;13604,43;1042,82
04.01.20;13:45;14:00;14626,64;13583,68;1042,96
04.01.20;14:00;14:15;14661,92;13618,8;1043,11
04.01.20;14:15;14:30;14598,1;13554,86;1043,23
04.01.20;14:30;14:45;14531,61;13488,26;1043,35
04.01.20;14:45;15:00;14456,72;13413,33;1043,39
04.01.20;15:00;15:15;14386,54;13343,12;1043,42
04.01.20;15:15;15:30;14276,82;13233,39;1043,43
04.01.20;15:30;15:45;14171,08;13127,65;1043,43
04.01.20;15:45;16:00;14061,38;13017,94;1043,43
04.01.20;16:00;16:15;13951,94;12908,52;1043,42
04.01.20;16:15;16:30;13824,78;12781,39;1043,39
04.01.20;16:30;16:45;13695,42;12652,06;1043,36
04.01.20;16:45;17:00;13549,02;12505,7;1043,32
04.01.20;17:00;17:15;13400,08;12356,8;1043,28
04.01.20;17:15;17:30;13268,18;12225,52;1042,66
04.01.20;17:30;17:45;13135,38;12093,35;1042,03
04.01.20;17:45;18:00;12998,96;11957,57;1041,39
04.01.20;18:00;18:15;12861,06;11820,37;1040,69
04.01.20;18:15;18:30;12732,83;11695,61;1037,21
04.01.20;18:30;18:45;12596,46;11562,78;1033,68
04.01.20;18:45;19:00;12451,14;11422,54;1028,6
04.01.20;19:00;19:15;12298,3;11274,83;1023,46
04.01.20;19:15;19:30;12128,72;11107,13;1021,59
04.01.20;19:30;19:45;11957,5;10937,78;1019,71
04.01.20;19:45;20:00;11768,32;10752,12;1016,2
04.01.20;20:00;20:15;11627,1;10614,43;1012,67
04.01.20;20:15;20:30;11448,41;10439,44;1008,97
04.01.20;20:30;20:45;11260,27;10255;1005,27
04.01.20;20:45;21:00;11071,02;10069,97;1001,05
04.01.20;21:00;21:15;10876,84;9880,02;996,82
04.01.20;21:15;21:30;10679,96;9689,93;990,03
04.01.20;21:30;21:45;10482,86;9499,61;983,24
04.01.20;21:45;22:00;10288,16;9310,94;977,22
04.01.20;22:00;22:15;10032,43;9061,22;971,2
04.01.20;22:15;22:30;9828,81;8871,5;957,31
04.01.20;22:30;22:45;9622,11;8678,7;943,41
04.01.20;22:45;23:00;9418,04;8488,52;929,53
04.01.20;23:00;23:15;9221,49;8305,86;915,63
04.01.20;23:15;23:30;9019,19;8121,03;898,17
04.01.20;23:30;23:45;8802,76;7924,2;878,56
04.01.20;23:45;00:00;8571,92;7716,24;855,68
05.01.20;00:00;00:15;8922,94;8018,1;904,84
05.01.20;00:15;00:30;8704,5;7817,9;886,6
05.01.20;00:30;00:45;8487,58;7619,33;868,25
05.01.20;00:45;01:00;8262,28;7412,23;850,05
05.01.20;01:00;01:15;7977,36;7145,54;831,82
05.01.20;01:15;01:30;7718,85;6917,2;801,65
05.01.20;01:30;01:45;7494,86;6723,4;771,45
05.01.20;01:45;02:00;7271,23;6529,18;742,05
05.01.20;02:00;02:15;7073,37;6360,74;712,63
05.01.20;02:15;02:30;6851,08;6166,79;684,3
05.01.20;02:30;02:45;6641,3;5985,31;655,99
05.01.20;02:45;03:00;6435,7;5808,38;627,32
05.01.20;03:00;03:15;6201,3;5602,67;598,62
05.01.20;03:15;03:30;5967,12;5399,56;567,56
05.01.20;03:30;03:45;5727,1;5190,58;536,52
05.01.20;03:45;04:00;5494,44;4988,36;506,09
05.01.20;04:00;04:15;5270,14;4794,47;475,67
05.01.20;04:15;04:30;5019,8;4579;440,8
05.01.20;04:30;04:45;4787,98;4382,04;405,94
05.01.20;04:45;05:00;4563,81;4191,78;372,03
05.01.20;05:00;05:15;4373,76;4035,64;338,12
05.01.20;05:15;05:30;4202,61;3884,58;318,03
05.01.20;05:30;05:45;4013,68;3715,73;297,95
05.01.20;05:45;06:00;3821,38;3543,68;277,7
05.01.20;06:00;06:15;3604,52;3347,05;257,48
05.01.20;06:15;06:30;3411,44;3159,98;251,46
05.01.20;06:30;06:45;3274,32;3028,87;245,46
05.01.20;06:45;07:00;3133,62;2894,74;238,87
05.01.20;07:00;07:15;2957,99;2725,69;232,3
05.01.20;07:15;07:30;2806,84;2578,26;228,59
05.01.20;07:30;07:45;2734,62;2509,74;224,88
05.01.20;07:45;08:00;2663,01;2438,69;224,32
05.01.20;08:00;08:15;2563,76;2339,99;223,77
05.01.20;08:15;08:30;2491,49;2265;226,48
05.01.20;08:30;08:45;2421,88;2192,66;229,22
05.01.20;08:45;09:00;2359,24;2126,55;232,68
05.01.20;09:00;09:15;2297,92;2061,76;236,16
05.01.20;09:15;09:30;2229,74;2000,04;229,7
05.01.20;09:30;09:45;2140,97;1917,72;223,24
05.01.20;09:45;10:00;2040,9;1823,9;217
05.01.20;10:00;10:15;1967,72;1756,96;210,75
05.01.20;10:15;10:30;1919,58;1701,22;218,36
05.01.20;10:30;10:45;1861,05;1635,05;225,99
05.01.20;10:45;11:00;1811,15;1577,85;233,3
05.01.20;11:00;11:15;1778,98;1538,36;240,63
05.01.20;11:15;11:30;1762,11;1516,67;245,44
05.01.20;11:30;11:45;1745,87;1495,6;250,27
05.01.20;11:45;12:00;1736,71;1479,79;256,92
05.01.20;12:00;12:15;1723,9;1460,36;263,54
05.01.20;12:15;12:30;1732,79;1469,85;262,94
05.01.20;12:30;12:45;1727,9;1465,56;262,34
05.01.20;12:45;13:00;1726,7;1465,73;260,97
05.01.20;13:00;13:15;1729,39;1469,77;259,61
05.01.20;13:15;13:30;1816,23;1540,51;275,72
05.01.20;13:30;13:45;1904,32;1612,48;291,84
05.01.20;13:45;14:00;2000,21;1691,37;308,83
05.01.20;14:00;14:15;2124,31;1798,48;325,83
05.01.20;14:15;14:30;2274,42;1924,66;349,76
05.01.20;14:30;14:45;2424,57;2050,86;373,7
05.01.20;14:45;15:00;2580,27;2182,36;397,92
05.01.20;15:00;15:15;2741,24;2319,12;422,12
05.01.20;15:15;15:30;2915,06;2463,33;451,73
05.01.20;15:30;15:45;3093,4;2612,06;481,34
05.01.20;15:45;16:00;3264,19;2752,23;511,96
05.01.20;16:00;16:15;3436,12;2893,54;542,57
05.01.20;16:15;16:30;3607,3;3027,22;580,08
05.01.20;16:30;16:45;3780,22;3162,59;617,64
05.01.20;16:45;17:00;3956,96;3301,68;655,28
05.01.20;17:00;17:15;4142,59;3449,7;692,89
05.01.20;17:15;17:30;4307,94;3584,59;723,35
05.01.20;17:30;17:45;4474,89;3721,07;753,83
05.01.20;17:45;18:00;4641,94;3857,33;784,61
05.01.20;18:00;18:15;4810,44;3995,04;815,4
05.01.20;18:15;18:30;4936,08;4101,09;834,99
05.01.20;18:30;18:45;5058,65;4204,07;854,58
05.01.20;18:45;19:00;5181,76;4306,18;875,58
05.01.20;19:00;19:15;5304,03;4407,45;896,58
05.01.20;19:15;19:30;5373,74;4464,62;909,12
05.01.20;19:30;19:45;5442,24;4520,6;921,65
05.01.20;19:45;20:00;5505,16;4572,79;932,37
05.01.20;20:00;20:15;5589,8;4646,76;943,04
05.01.20;20:15;20:30;5634,25;4682,93;951,32
